"msepick2" "msearim2" "msearims2" "msearimsp12"
"1" 1967.74632257428 22606.8714909006 292.460872717831 470.055347302198
"2" 617.027940111628 32679.4272713547 752.026558003701 1204.89597629829
"3" 645.566228195946 83891.5366766889 375.990688894624 851.536762918695
"4" 4109.82131847098 23424.7064279269 393.341747995648 471.169876212525
"5" 5011.58106635398 30678.9132774763 2736.6357248507 2309.69730027973
"6" 4242.74415356655 36581.9652951415 4888.38755903018 3684.86199964758
"7" 1707.44600385664 33297.9248529175 3397.63060256384 3978.50169229319
"8" 3669.45519644258 32219.1936800883 3353.7015106842 3053.77010128037
"9" 1295.09127247569 31389.6624181518 927.419793845713 844.144635474822
"10" 1955.74188966096 35760.5754834637 1167.3686826522 2137.61316857059
"11" 481.786568691015 40468.4955230102 253.288028463199 150.092928687086
"12" 6550.22062807128 27679.3855219496 144.61669015378 90.9784044606533
"13" 8844.87346342756 36499.9836172101 218.637839762239 251.715810493863
"14" 8121.98026398842 36371.6352860935 2412.52047640705 490.449209426499
"15" 2727.92793533825 30973.8728322559 482.216566252893 165.225550683131
"16" 798.949711441101 25716.3306285457 411.570458670104 401.166833728384
"17" 1429.56182639805 23158.810852932 950.872733879119 736.374816837946
"18" 1549.44255763771 14126.4423813991 1311.58471782151 1083.68560205548
"19" 7236.51236015941 15167.037358066 223.020367056648 119.953165155099
"20" 10899.8564160814 18812.1580435336 229.609300993128 103.293762640044
"21" 6249.46374822471 9445.31869964266 568.94087255614 250.209256341765
"22" 2004.59625111635 8569.00530694624 118.789238494913 157.858050183701
"23" 856.323676074647 8363.07162665579 295.582165615 301.034077839099
"24" 805.582285918441 8894.7163252129 962.458247364725 1159.52583591175
"25" 2086.20909008382 10888.9167170964 1570.73147896402 1023.9153258894
"26" 6496.33230617925 3268.94107982618 691.278512727136 303.72266259212
"27" 9831.77022912624 5567.46691015614 221.925831150242 59.684000823765
"28" 4742.06671735649 8884.57480428807 293.533308755468 386.600416998474
"29" 1598.35393086255 11056.0365956711 302.790309482196 580.270915062599
"30" 667.790792125768 12784.2196517805 241.015473681236 436.311502470796
"31" 448.842226313025 13227.1431336679 259.315269294384 423.286099951506
"32" 1517.35416742706 18038.0639736788 2400.58093468148 2993.39572940531
"33" 7569.45115557301 16468.3308048746 1576.53940954213 1988.52029142875
"34" 9793.93169045886 17739.9442898467 572.921357749529 698.168790736064
"35" 4940.37286563301 18885.5435287885 1277.73098876573 1667.8211032324
"36" 2166.67087381305 20978.9285105724 1856.10918475403 2372.80279494803
"37" 1168.88519205765 16004.2588116202 2168.11567926459 2844.37511747905
"38" 946.385893455028 18348.1840660232 2371.82031235083 2719.27262068885
"39" 2409.12854150014 23972.9891323348 2901.48562899693 2285.68247803441
"40" 5903.91990443441 14886.0409857979 1881.55283278376 1474.38184083431
"41" 8843.77164294492 17405.8210883539 1107.06547266356 703.732889580907
"42" 4763.80713686301 11294.2732367967 1108.24058118565 502.557924607656
"43" 2022.40408799432 11316.9846784178 693.149257382021 450.391299080531
"44" 766.940946321341 13326.4294497836 566.690652615535 393.155070780346
"45" 1465.45797098555 22229.7780900151 2618.47327682126 4303.9046765858
"46" 1751.8724638234 21787.7783626739 2395.63912785041 2413.13810716396
"47" 3615.87574358553 22788.1352217749 1375.50276590831 1142.81434518498
"48" 6452.73670072478 18767.8273577759 425.645909008025 155.446338395432
"49" 3356.75088475273 30195.2355048342 3439.52159023397 4823.31497859551
"50" 1490.79019180574 39494.9446065693 1481.62989817348 3850.28002939196
"51" 831.71855557408 36606.726925788 1226.05803172417 1841.33186152151
"52" 3000.83927429126 25080.2818949463 2941.31537047649 1829.73755364146
"53" 1863.79434056817 27597.4419043552 1956.67873298022 1934.18503871394
"54" 5548.63031700444 28049.2851380815 575.161475434431 1339.20238274117
"55" 7205.25373077232 23421.9287415771 641.762999430318 1059.27114152981
